model,feature_count,precision_priority_score,strong_in_precision,strong_out_precision,top200_accuracy,top100_member_precision,top200_member_precision,actual_member_avg_pred_rank,actual_in_avg_pred_rank,actual_out_avg_pred_rank
ExtraTrees,15,0.6708333333333333,0.6666666666666666,0.675,0.965,0.9975,0.965,101.4480386743748,216.63095238095238,173.5
CatBoost,5,0.6428571428571428,0.49404761904761907,0.7916666666666666,0.96375,0.9875,0.96375,101.95842450955233,216.39027777777778,163.3095238095238
XGBoost,10,0.5907738095238095,0.49404761904761907,0.6875,0.9612499999999999,0.99,0.9612499999999999,101.90412312871851,217.32559523809522,165.2452380952381
CatBoost,10,0.5590277777777778,0.4305555555555556,0.6875,0.9575,0.99,0.9575,101.86577311453438,217.13055555555556,167.13214285714287
CatBoost,15,0.5421626984126984,0.4384920634920635,0.6458333333333334,0.9612499999999999,0.9875,0.9612499999999999,101.83426007421355,214.99920634920636,164.27857142857144
XGBoost,15,0.5366071428571428,0.42738095238095236,0.6458333333333334,0.9612499999999999,0.9924999999999999,0.9612499999999999,101.75450158357289,216.02599206349205,171.375
ExtraTrees,10,0.5208333333333334,0.4583333333333333,0.5833333333333334,0.965,0.99,0.965,101.90997863297413,218.52757936507936,162.7095238095238
ExtraTrees,5,0.5051587301587301,0.46031746031746035,0.55,0.96375,0.9875,0.96375,102.13652870245191,214.13630952380953,160.8797619047619
RandomForest,15,0.4636904761904762,0.6357142857142857,0.2916666666666667,0.9624999999999999,0.99,0.9624999999999999,101.77387303286932,217.17857142857144,170.20238095238096
LightGBM,5,0.44940476190476186,0.3571428571428571,0.5416666666666666,0.96,0.99,0.96,101.99541461086903,220.1065476190476,162.92738095238096
LightGBM,15,0.38571428571428573,0.5214285714285715,0.25,0.9612499999999999,0.9924999999999999,0.9612499999999999,101.82021417172774,218.5029761904762,173.7392857142857
RandomForest,10,0.3273809523809524,0.40476190476190477,0.25,0.9624999999999999,0.9975,0.9624999999999999,101.6962422145079,217.5859126984127,171.14642857142857
LightGBM,10,0.3053571428571429,0.4857142857142857,0.125,0.96,0.995,0.96,101.84417755791725,216.96349206349205,171.68095238095236
RandomForest,5,0.3038419913419913,0.35768398268398266,0.25,0.96,0.9924999999999999,0.96,101.93320505001549,214.8970238095238,174.45833333333334
XGBoost,5,0.2859126984126984,0.2718253968253968,0.3,0.96,0.995,0.96,101.61213605489634,215.15813492063492,173.3845238095238
LogisticRegression,5,0.09505517127799737,0.14844367588932805,0.041666666666666664,0.87875,0.975,0.87875,108.18298451539604,151.9359126984127,205.6904761904762
LogisticRegression,10,0.09505517127799737,0.14844367588932805,0.041666666666666664,0.87875,0.975,0.87875,108.18298451539604,151.9359126984127,205.6904761904762
LogisticRegression,15,0.09505517127799737,0.14844367588932805,0.041666666666666664,0.87875,0.975,0.87875,108.18298451539604,151.9359126984127,205.6904761904762
